idz,candidate,song,artist,sentiment,theme,album_release_date,line,url
206,Donald Trump,thug motivation 101,jeezy,positive,NA,2005,i'm Donald Trump in a white tee and white 1's (chea),http://genius.com/jeezy-thug-motivation-101-lyrics
207,Donald Trump,trump,jeezy,positive,money,2011,richest n---- in my hood; call me Donald Trump,http://genius.com/jeezy-trump-lyrics
208,Donald Trump,vagina,"royce da 5'9""",positive,hotel,2010,i'm in the trump tower shower washin' ink off me,http://genius.com/royce-da-59-vagina-lyrics
209,Donald Trump,if you love me,sheek louch,positive,hotel,2010,"burgundy gauze, trump building one of these floors",http://genius.com/dj-absolut-if-you-love-me-lyrics
210,Donald Trump,salute,the diplomats,neutral,hotel,2010,"she was wearin pumps, headed to the trump",http://genius.com/the-diplomats-salute-lyrics
211,Donald Trump,i don't play with guns,alley boy,neutral,NA,2011,"add up our word: all the nonbelievers in white chalk / trump n----, talk shit",http://genius.com/juicy-j-i-dont-play-with-guns-lyrics
212,Donald Trump,shootin,juicy j,neutral,the apprentice,2013,and fire them shots just like i'm Donald Trump,http://genius.com/juicy-j-shootin-lyrics
213,Donald Trump,tell me what you're lookin' for,kane & abel,positive,money,1998,"kane and abel in this bitch, gettin' rich as trump",http://genius.com/kane-tell-me-what-youre-lookin-for-lyrics
214,Donald Trump,tim westwood freestyle,kanye west,positive,money,2004,"uh, more like Donald Trump, with the way i get it crunk",http://genius.com/kanye-west-tim-westwood-freestyle-lyrics
215,Donald Trump,webster's laboratory,chris webby,neutral,the apprentice,2011,so authentic Donald Trump is my apprentice,http://genius.com/chris-webby-websters-laboratory-lyrics
216,Donald Trump,p.a.,mac miller,negative,personal,2011,Donald Trump with better hair,http://genius.com/freeway-pa-lyrics
217,Donald Trump,is it love,kendrick lamar,positive,money,2009,"give me fame and fortune, me and trump on golf courses",http://genius.com/kendrick-lamar-is-it-love-lyrics
218,Donald Trump,another one,rock,neutral,NA,2011,"i own them, fuck a Donald Trump, i'm 'donald dump' i got realty",http://genius.com/random-axe-another-one-lyrics
219,Donald Trump,reputations on the line,kevin gates,positive,money,2011,"money right, my feelings ice, i'm Donald Trump when it's precise",http://genius.com/kevin-gates-reputations-on-the-line-lyrics
220,Donald Trump,best days of lives,donnis,neutral,NA,2011,"i'm a mac bitch, i stay on my Donald Trump shit",http://genius.com/xv-best-days-of-lives-lyrics
221,Donald Trump,paid,kid rock,positive,money,1996,i'll still be in the house getting paid like trump,http://genius.com/kid-rock-paid-lyrics
222,Donald Trump,lights,frank ocean,neutral,money,2011,Donald Trump said buy an apartment wit her,http://genius.com/frank-ocean-lights-lyrics
223,Donald Trump,tower heist,nas,positive,hotel,2011,"this a tower heist, even Donald Trump can get it",http://genius.com/nas-tower-heist-lyrics
224,Donald Trump,once upon a time,king sun,positive,money,1994,today i'm livin large as if my last name was trump,http://genius.com/king-sun-once-upon-a-time-lyrics
225,Donald Trump,on the real,nas,positive,hotel,2011,"up in the trump plaza, suite 3010",http://genius.com/nas-on-the-real-lyrics
226,Donald Trump,thug chronicles,kool g. rap,positive,money,2002,collect trump papers with pumps and gauges,http://genius.com/kool-g-rap-thug-chronicles-lyrics
227,Donald Trump,k.o.t.t.o.n.m.o.u.t.h.,kottonmouth kings,neutral,the apprentice,2008,i'm like the Donald Trump of drinking and homie your fired,http://genius.com/kottonmouth-kings-kottonmouth-lyrics
228,Donald Trump,your world & my world,raekwon,positive,hotel,2011,"wild fight, customized dice, get nice in the trump tower",http://genius.com/raekwon-your-world-and-my-world-lyrics
229,Donald Trump,you know what,tinie tempah,neutral,the apprentice,2011,"Donald Trump profit, take an apprenticeship",http://genius.com/tinie-tempah-you-know-what-lyrics
230,Donald Trump,elimination chamber,action bronson,positive,hotel,2012,"backflip in a jacuzzi, forty floors inside the trump",http://genius.com/domo-genesis-and-alchemist-elimination-chamber-lyrics
231,Donald Trump,help me,deuce,neutral,money,2012,motherfucker i ain't got no love for some fake ass wannabe Donald Trump!,http://genius.com/deuce-help-me-lyrics
232,Donald Trump,flex 36,lil b,positive,NA,2013,"stephen curry basedgod, Donald Trump basedgod",http://genius.com/lil-b-flex-36-lyrics
233,Donald Trump,jet life (remix),jeezy,positive,hotel,2012,trump towers i'm sky high,http://genius.com/curren-y-jet-life-remix-lyrics
234,Donald Trump,what's up wit dat,lil wayne,positive,money,2000,next time you see me i'll have money like Donald Trump,http://genius.com/juvenile-whats-up-wit-dat-lyrics
235,Donald Trump,get down,lil wayne,positive,money,2004,i gotta hold up my estate like Donald Trump,http://genius.com/lil-wayne-get-down-lyrics
236,Donald Trump,ice cream,lil wayne,positive,money,2009,"i was in the trenches, now i'm in the trump",http://genius.com/lil-wayne-ice-cream-lyrics
237,Donald Trump,racks,lil wayne,positive,money,2011,get money like Donald Trump,http://genius.com/lil-wayne-racks-on-racks-lyrics
238,Donald Trump,ball,lil wayne,neutral,the apprentice,2012,i'ma fire my blunt like Donald Trump,http://genius.com/ti-ball-lyrics
239,Donald Trump,lil snupe meek mill freestyle part 2,lil' snupe,positive,money,2013,and show her how i get it like i'm Donald Trump,http://genius.com/lil-snupe-lil-snupe-meek-mill-freestyle-part-2-lyrics
240,Donald Trump,comin' for ya head,raekwon,positive,hotel,2012,"we chilling in the trump towers, onions and soul",http://genius.com/wu-block-comin-for-ya-head-lyrics
241,Donald Trump,blame the label (ghida fakhry),the narcicyst,neutral,personal,2012,we're brushing up over here (hair) like Donald Trump,http://genius.com/the-narcicyst-blame-the-label-ghida-fakhry-lyrics
242,Donald Trump,perfume,aasim,positive,hotel,2013,"four seasons or the trump, come have a sleep over",http://genius.com/aasim-perfume-lyrics
243,Donald Trump,hip hop quotables,ludacris,positive,money,2003,"i buy cars with straight cash, have meetings with Donald Trump",http://genius.com/ludacris-hip-hop-quotables-lyrics
244,Donald Trump,raiders cap,demigodz,negative,personal,2013,blow your wig to the side like hair on Donald Trump,http://genius.com/demigodz-raiders-cap-lyrics
245,Donald Trump,Donald Trump,mac miller,positive,money,2011,"take over the world when i'm on my Donald Trump shit / look at all this money, ain't that some shit",http://genius.com/mac-miller-donald-trump-lyrics
246,Donald Trump,thoughts from a balcony,mac miller,positive,money,2012,"my khaki's filled with cheese, my homie sap is on the beat like it was ""Donald Trump,"" a fucking hit but i just call it luck",http://genius.com/mac-miller-thoughts-from-a-balcony-lyrics
247,Donald Trump,dis ain't what you want (remix),french montana,negative,NA,2013,"you can hate, don't frown, my n---- / with Donald Trump in the trunk, my n----",http://genius.com/lil-durk-dis-aint-what-you-want-remix-lyrics
248,Donald Trump,don't drop that,futuristic,neutral,the apprentice,2013,not even Donald Trump would fire zach,http://genius.com/futuristic-dont-drop-that-lyrics
249,Donald Trump,211,master p,positive,money,1994,put more cash in my pockets than Donald Trump,http://genius.com/master-p-211-lyrics
250,Donald Trump,morphine,gorilla warfare tactics,positive,hotel,2013,like im trump and yelling out on the tower top of the taj,http://genius.com/gorilla-warfare-tactics-morphine-lyrics
251,Donald Trump,off the corner,meek mill,positive,money,2014,going Donald Trump numbers on the corner,http://genius.com/meek-mill-off-the-corner-lyrics
252,Donald Trump,since day 1,migos,positive,money,2013,"i got the white man money, call me Donald Trump",http://genius.com/migos-since-day-1-lyrics
253,Donald Trump,giv no fuks,migos,positive,NA,2014,"wake up in the morning, up like Donald Trump",http://genius.com/jeremih-giv-no-fuks-lyrics
254,Donald Trump,"dag, philly too",homeboy sandman,neutral,NA,2013,"before a trump, the billionaire punks was the pattern",http://genius.com/homeboy-sandman-dag-philly-too-lyrics
255,Donald Trump,neighborhood scientists,migos,positive,money,2015,living life like Donald Trump,http://genius.com/migos-neighborhood-scientists-lyrics
256,Donald Trump,bars,migos,positive,money,2016,billionaire looking my way im on pace / feeling like Donald Trump back in the day,http://genius.com/migos-bars-lyrics
257,Donald Trump,minority report,kxng crooked,positive,hotel,2013,"im in the trump and the national out in sunny isles, miami",http://genius.com/crooked-i-minority-report-lyrics
258,Donald Trump,red dot music,loaded lux,neutral,money,2013,i'm gon' rob this chump / on a party on fifth ave like he Donald Trump,http://genius.com/mac-miller-red-dot-music-lyrics
259,Donald Trump,break my wrist,peewee longway,neutral,the apprentice,2013,"i'm Donald Trump, you think i won't fire my bitch",http://genius.com/peewee-longway-break-my-wrist-lyrics
260,Donald Trump,money is my bitch,nas,positive,personal,1999,the best couple they seen since trump and marla maple,http://genius.com/nas-money-is-my-bitch-lyrics
261,Donald Trump,karate chop (freestyle),shaquille o'neal,neutral,money,2013,"you ain't got enough, better get a loan from mr. bill gates / and Donald Trump, and carlos slim",http://genius.com/shaquille-oneal-karate-chop-freestyle-lyrics
262,Donald Trump,the people's douche,spose,neutral,money,2013,Donald Trump just asked me for spare change,http://genius.com/spose-the-peoples-douche-lyrics
263,Donald Trump,make the world go round,nas,positive,hotel,2008,get the whole trump tower top floor for the hood,http://genius.com/nas-make-the-world-go-round-lyrics
264,Donald Trump,i shoulda tried harder,wax,neutral,NA,2013,but Donald Trump i ain't talking to you,http://genius.com/wax-i-shoulda-tried-harder-lyrics
265,Donald Trump,break my wrist,young thug,neutral,the apprentice,2013,i'm Donald Trump i just fire my bitch,http://genius.com/peewee-longway-break-my-wrist-lyrics
266,Donald Trump,loco-motive,nas,positive,money,2012,"like trump being up down up, play with cash",http://genius.com/nas-loco-motive-lyrics
267,Donald Trump,loaded,young thug,neutral,NA,2013,(uh!) plottin' on Donald Trump (woo! woo!),http://genius.com/young-thug-loaded-lyrics
268,Donald Trump,country grammar (hot shit),nelly,positive,money,2000,"bill gates, Donald Trump, let me in now",http://genius.com/nelly-country-grammar-hot-shit-lyrics
269,Donald Trump,its sad boy,yung gleesh,neutral,hotel,2013,pushed a button to the trump towers,http://genius.com/yung-gleesh-its-sad-boy-lyrics
270,Donald Trump,i wanna be with you,nicki minaj,positive,hotel,2013,"at the trump, and you bitches at the radisson",http://genius.com/dj-khaled-i-wanna-be-with-you-lyrics
271,Donald Trump,party ain't a party,2 chainz,positive,hotel,2014,exit the club to the trump,http://genius.com/jamie-foxx-party-aint-a-party-lyrics
272,Donald Trump,last year,borgore,neutral,power,2014,"fuck the trump, i want my own tower",http://genius.com/borgore-last-year-lyrics
273,Donald Trump,inheiritance,king mez,negative,NA,2014,trump for the china white and they mental like dynamite,http://genius.com/king-mez-inheiritance-lyrics
274,Donald Trump,what we doing,fat trel,positive,hotel,2014,where we at? (trump tower),http://genius.com/fat-trel-what-we-doing-lyrics
275,Donald Trump,sirens,hoodie allen,positive,hotel,2014,last night at the trump tower taking drunk showers,http://genius.com/hoodie-allen-sirens-lyrics
276,Donald Trump,tru master,pete rock,positive,money,1998,in hot pursuit of Donald Trump rap loot,http://genius.com/pete-rock-tru-master-lyrics
277,Donald Trump,hollow da don vs. joe budden,joe budden,neutral,the apprentice,2014,"senseless, apprentice i thought da don knew trump (Donald Trump)",http://genius.com/total-slaughter-hollow-da-don-vs-joe-budden-lyrics
278,Donald Trump,get it (dt),pharrell,positive,money,2011,i'm talking Donald Trump level,http://genius.com/big-sean-get-it-dt-lyrics
279,Donald Trump,bizarre,mouf,neutral,the apprentice,2014,"here trump shit, Donald Trump shit",http://genius.com/jaygo-bizarre-lyrics
280,Donald Trump,the dangerous three,r.a. the rugged man,positive,power,2013,"i'm the don: corleone, cornelius, trump, king",http://genius.com/ra-the-rugged-man-the-dangerous-three-lyrics
281,Donald Trump,up like trump,rae sremmurd,positive,personal,2015,up like Donald Trump,http://genius.com/rae-sremmurd-up-like-trump-lyrics
282,Donald Trump,incarcerated scarfaces,raekwon,positive,money,1995,"rae's a heavy generator, but yo, guess who's the black trump? / you rolling like trump, you get your meat lumped",http://genius.com/raekwon-incarcerated-scarfaces-lyrics
283,Donald Trump,flawless remix,nicki minaj,positive,hotel,2014,"i told him meet me at the trump, ivanka",http://genius.com/beyonce-flawless-remix-lyrics
284,Donald Trump,dart school,raekwon,neutral,NA,2011,"we was cooling in the trump section, throwing bubbly",http://genius.com/raekwon-dart-school-lyrics
285,Donald Trump,new york minute (remix),nicki minaj,positive,hotel,2010,i remember how it felt when the twin towers fell i was in the trump towers looking for some shower gel,http://genius.com/french-montana-new-york-minute-remix-lyrics
286,Donald Trump,google that,raekwon,positive,money,2012,"black trump, n----, with fat pockets",http://genius.com/nore-google-that-lyrics
287,Donald Trump,hazelton trump,ob o'brien,positive,hotel,2014,"uh, i know this girl, i call her hazelton trump",http://genius.com/ob-obrien-hazelton-trump-lyrics
288,Donald Trump,da funk,redman,positive,personal,1992,i'm well known like Donald Trump,http://genius.com/redman-da-funk-lyrics
289,Donald Trump,sacrifices,rich homie quan,positive,money,2013,"ask Donald Trump, i want his figures",http://genius.com/rich-homie-quan-sacrifices-lyrics
290,Donald Trump,10 2 10 (remix),rick ross,positive,hotel,2014,"i got a place at the trump, just to pray for advice",http://genius.com/big-sean-10-2-10-remix-lyrics
291,Donald Trump,this is the life,rick ross,positive,hotel,2008,"i'm in trump towers, amongst earners",http://genius.com/rick-ross-this-is-the-life-lyrics
292,Donald Trump,i mean it (remix),rick ross,neutral,money,2014,i'm at the poker table like i'm Donald Trump,http://genius.com/g-eazy-i-mean-it-remix-lyrics
293,Donald Trump,pirates,rick ross,positive,money,2012,"resurrection of the real, time to get the richer than trump",http://genius.com/rick-ross-pirates-lyrics
294,Donald Trump,sixteen,rick ross,positive,hotel,2012,trump tower and i started with a 10 speed,http://genius.com/rick-ross-sixteen-lyrics
295,Donald Trump,think like a man,rick ross,positive,hotel,2012,"penthouse, at the trump, sit on collins ave",http://genius.com/jennifer-hudson-think-like-a-man-lyrics
296,Donald Trump,maybe you love me,riff raff,positive,hotel,2014,trump towers with donald (donald) i can't drive a honda (uh uh),http://genius.com/riff-raff-maybe-you-love-me-lyrics
297,Donald Trump,keith sweat (jodeci freestyle),young tero,neutral,the apprentice,2014,"cause i got goons that keep the fire, no Donald Trump",http://genius.com/young-tero-keith-sweat-jodeci-freestyle-lyrics
298,Donald Trump,pnt,apollo brown & ras kass,neutral,political,2015,"he kenyan, trump wanted his certificate of birth",http://genius.com/apollo-brown-and-ras-kass-pnt-lyrics
299,Donald Trump,she wanna fuck,rick ross,positive,money,2015,"bel air bottles like a boss, penthouse at the trump",http://genius.com/rick-ross-she-wanna-fuck-lyrics
300,Donald Trump,dope spot,cam'ron,neutral,political,2015,"arrogant rich n----, we might vote for trump",http://genius.com/camron-berner-dope-spot-lyrics
301,Donald Trump,florida state,riff raff,positive,money,2015,"i could switch lanes, Donald Trump private planes",http://genius.com/riff-raff-florida-state-lyrics
302,Donald Trump,have a nice day,ab-stract,negative,political,2015,don't look like change will happen soon / Donald Trump is all that they talk about,http://genius.com/ab-stract-have-a-nice-day-lyrics
303,Donald Trump,flavas back,chino tovar,negative,political,2015,stop deportation we just chasing dreams / Donald Trump - king of slavery,http://genius.com/the-sindicate-flavas-back-lyrics
304,Donald Trump,making some moves,daj,negative,NA,2015,"young n----s get it, fuck Donald Trump",http://genius.com/daj-making-some-moves-lyrics
305,Donald Trump,10 times,freddie gibbs,positive,hotel,2015,"smokin at the trump tower, bout to call a ho",http://genius.com/freddie-gibbs-10-times-lyrics
306,Donald Trump,sway in the morning freestyle,eminem,negative,political,2015,i'm fucked worse than Donald Trump on lexapro in mexico across from a texaco in mcdonald's drunk,http://genius.com/eminem-sway-in-the-morning-freestyle-lyrics
307,Donald Trump,straight drop,gucci mane,neutral,NA,2015,"hugo boss, [?], i just Donald Trump you",http://genius.com/gucci-mane-straight-drop-lyrics
308,Donald Trump,so tight,hugh lee,neutral,sexual,2015,she getting down and she stick it out for that money shot / trump cake,http://genius.com/hugh-lee-so-tight-lyrics
309,Donald Trump,spraying my pen,saukrates,positive,money,2013,"ain't no apprentice, i'm Donald Trump / get money, get money, i don't succumb",http://genius.com/k-os-spraying-my-pen-lyrics
310,Donald Trump,money and the power,scarface,positive,money,1991,"n---- rollin hard, stackin paper like trump",http://genius.com/scarface-money-and-the-power-lyrics
311,Donald Trump,way it go,sd,positive,political,2015,presidential shit; the hood Donald Trump,http://genius.com/sd-way-it-go-lyrics
312,Donald Trump,black friday,kendrick lamar,negative,political,2015,"play with him, bitch you better off voting for Donald Trump",http://genius.com/kendrick-lamar-black-friday-lyrics
313,Donald Trump,one name,sheek louch,positive,money,2005,"big trips, louis bags, welcome to the ice (bling) / rock big enough to make trump look twice",http://genius.com/sheek-louch-one-name-lyrics
314,Donald Trump,men of respect,sheek louch,neutral,NA,2007,"i'm getting sex from 9th and up, that's living it up / not Donald Trump but what, buying pies for the class",http://genius.com/kasino-men-of-respect-lyrics
315,Donald Trump,ransom,rich white ladies,negative,NA,2015,tie Donald Trump to a stump take a bump with him and a drag,http://genius.com/rich-white-ladies-ransom-lyrics
316,Donald Trump,spend some cheese,shyne,positive,money,2000,"like don trump, black ted turner, totin burners",http://genius.com/shyne-spend-some-cheese-lyrics
317,Donald Trump,bad boyz,shyne,positive,hotel,2000,what type of n---- stay in the trump for weeks? (bad boyz),http://genius.com/shyne-bad-boyz-lyrics
318,Donald Trump,bonnie & shyne,shyne,neutral,hotel,2000,"did it all, four seasons to the trump",http://genius.com/shyne-bonnie-and-shyne-lyrics
319,Donald Trump,free enterprise,rick ross,negative,political,2015,assassinate trump like i'm zimmerman,http://genius.com/rick-ross-free-enterprise-lyrics
320,Donald Trump,el chapo,the game,negative,personal,2015,come through and knock Donald Trump out his toupee,http://genius.com/the-game-el-chapo-lyrics
321,Donald Trump,"blase (jeezy, juicy j & diddy remix)",ty dolla $ign,negative,political,2015,i dont fuck with Donald Trump he dont like us,http://genius.com/ty-dolla-sign-blase-jeezy-juicy-j-and-diddy-remix-lyrics
322,Donald Trump,coke & wet,spank rock,positive,money,2006,"that's wall street, Donald Trump, bass grilla stack",http://genius.com/spank-rock-coke-and-wet-lyrics
323,Donald Trump,r.i.c.o. (remix),waka flocka flame,negative,political,2015,"and fuck Donald Trump, man / i'm sending you straight to mexico to live in, motherfucker",http://genius.com/waka-flocka-flame-rico-remix-lyrics
324,Donald Trump,loco,young buck,negative,political,2015,and i'm fuck wat Donald Trump talk bout i like change when i met rosetta,http://genius.com/young-buck-loco-lyrics
325,Donald Trump,big tyme,stretch,positive,money,2001,"i'm beyond that, livin' like trump",http://genius.com/e-money-bags-big-time-lyrics
326,Donald Trump,pussy,strings,positive,money,2002,i'm sitting on some make em holla pussy / bill gates Donald Trump million dollar pussy,http://genius.com/strings-pussy-lyrics
327,Donald Trump,computers (freestyle),migos,neutral,hotel,2015,smoking power at the trump tower,http://genius.com/migos-computers-freestyle-lyrics
328,Donald Trump,trap problems,migos,neutral,the apprentice,2015,"feeling like Donald Trump, bitch you is fired",http://genius.com/migos-trap-problems-lyrics
329,Donald Trump,zion,omen,neutral,NA,2015,"no Donald Trump, bill gates or bruce wayne / the only thing i had to my name was a few dreams",http://genius.com/omen-zion-lyrics
330,Donald Trump,money like my og,swagg porter & star,positive,hotel,2012,"now its 1st class flights, penthouse at the trump for the night",http://genius.com/swagg-porter-and-star-money-like-my-og-lyrics
331,Donald Trump,i think i'm swipa,swipa,positive,money,2013,getting these dollars call me swipa trump,http://genius.com/swipa-i-think-im-swipa-lyrics
332,Donald Trump,i need dollas,t.i.,positive,money,2012,used to want dough like jc but now i'm thinking Donald Trump,http://genius.com/ti-i-need-dollas-lyrics
333,Donald Trump,buku,robb bank$,positive,hotel,2015,i'm with my mexican bitch at the trump,http://genius.com/robb-bank-buku-lyrics
334,Donald Trump,gratitude,talib kweli,positive,hotel,2015,joey made this beat in the trump tower,http://genius.com/talib-kweli-gratitude-lyrics
335,Donald Trump,fired,tech n9ne,neutral,the apprentice,2015,Donald Trump! (fire that bitch!),http://genius.com/tech-n9ne-fired-lyrics
336,Donald Trump,wet dollars,tink,positive,hotel,2015,downtown livin' at the trump,http://genius.com/tink-wet-dollars-lyrics
337,Donald Trump,purpose,young thug,neutral,NA,2015,"no donald, i'd trump that bitch",http://genius.com/young-thug-purpose-lyrics
338,Donald Trump,datpiff (freeverse series ep. 4),chris webby,neutral,NA,2016,you'll never see it like Donald Trump on a prayer mat,http://genius.com/chris-webby-datpiff-freeverse-series-ep-4-lyrics
339,Donald Trump,driving gloves,the alchemist,positive,money,2015,"pockets trump like i just struck the lottery, lotto",http://genius.com/gangrene-driving-gloves-lyrics
340,Donald Trump,gucci comin home,bia,neutral,NA,2016,man if gucci comin' home then we don't need no Donald Trump,http://genius.com/bia-gucci-comin-home-lyrics
341,Donald Trump,pimps (free stylin at the fortune 500 club),the coup,positive,money,1994,trump trump check out the cash in my trunk / i am Donald Trump me think you mighta heard about me,http://genius.com/the-coup-pimps-free-stylin-at-the-fortune-500-club-lyrics
342,Donald Trump,world war 6,boosie badazz,neutral,political,2016,"if trump wins, hes saying hes building the wall to stop the dope",http://genius.com/boosie-badazz-world-war-6-lyrics
343,Donald Trump,pop style (remix),devvon terrell,neutral,personal,2016,you want official like Donald Trump hair,http://genius.com/devvon-terrell-pop-style-remix-lyrics
344,Donald Trump,slenderman,germ,neutral,NA,2016,"that gives no fuck, like trump and such",http://genius.com/uicideboy-x-germ-slenderman-lyrics
345,Donald Trump,misconceptions 3,jgivens,neutral,political,2016,they shocked to see us like Donald Trump up in a taqueria,http://genius.com/lecrae-misconceptions-3-lyrics
346,Donald Trump,lost a fan,kxng crooked,neutral,money,2016,"she homeless and they don't give a fuck / gentrification, they laughin' getting rich as trump",http://genius.com/statik-kxng-lost-a-fan-lyrics
347,Donald Trump,flem,a$ap ferg,negative,political,2016,"trump win, i'm flying off the soil",http://genius.com/a-ap-ferg-flem-lyrics
348,Donald Trump,living the life,the notorious b.i.g.,positive,money,2005,"twenty seven cars and a twelve bedroom house, now they call me snoopy trump",http://genius.com/the-notorious-big-living-the-life-lyrics
349,Donald Trump,thought u lost it,caskey,negative,political,2016,our country-fucked if i'm assessin' the candidates / if Donald Trump wins maybe a man of space,http://genius.com/caskey-thought-u-lost-it-lyrics
350,Donald Trump,i need,croosh,negative,political,2016,i want to buy Donald Trump and sell him to el chapo,http://genius.com/croosh-i-need-lyrics
351,Donald Trump,bad boy on death row,dave east,negative,NA,2016,"Donald Trump ain't safe on my block, gotcha your wifey at ihop",http://genius.com/dave-east-bad-boy-on-death-row-lyrics
352,Donald Trump,cit4dt,dooley,negative,political,2016,we got a chopper in the trunk for Donald Trump,http://genius.com/dooley-cit4dt-lyrics
353,Donald Trump,hard (freestyle),"royce da 5'9""",positive,hotel,2016,i'm flyer than mos def in a trump tower surrounded by four chefs,http://genius.com/royce-da-59-hard-freestyle-lyrics
354,Donald Trump,high seas (c+),tom hobbes,positive,money,2013,and i'm all about that real estate so Donald Trump i feel you,http://genius.com/tom-hobbes-high-seas-c-lyrics
355,Donald Trump,priceless,tory lanez,positive,money,2014,i'm countin' money like i'm Donald Trump,http://genius.com/tory-lanez-priceless-lyrics
356,Donald Trump,billionaire,twista,positive,money,2009,Donald Trump makin big money go-getter,http://genius.com/twista-billionaire-lyrics
357,Donald Trump,which is cool,royce da 59,positive,hotel,2016,"like tommy lee and pam anderson, i'm in the trump tower",http://genius.com/royce-da-59-which-is-cool-lyrics
358,Donald Trump,my speech (queen's speech remix),sik world,neutral,political,2016,tryna battle me's dumb / like a mexican voting for Donald Trump,http://genius.com/sik-world-my-speech-queens-speech-remix-lyrics
359,Donald Trump,pocket full of stones,ugk,positive,NA,1992,fuck black caesar n----s call me black trump,http://genius.com/ugk-pocket-full-of-stones-lyrics
360,Donald Trump,nobody speak,el-p,negative,personal,2016,flame your crew quicker than trump fucks his youngest,http://genius.com/dj-shadow-nobody-speak-lyrics
361,Donald Trump,look me in my eyes,vado,positive,hotel,2014,"having a bunch in the plaza, top floor on the trump",http://genius.com/vado-look-me-in-my-eyes-lyrics
362,Donald Trump,everything's a go (remix),waka flocka flame,positive,money,2012,"Donald Trump bank account, you can call it that",http://genius.com/waka-flocka-flame-everythings-a-go-remix-lyrics
363,Donald Trump,wicked freestyle,jadakiss,negative,NA,2016,got the cuban sitting on the fuck trump crewneck,http://genius.com/fabolous-wicked-freestyle-lyrics
364,Donald Trump,castle,kevin gates,negative,NA,2016,i just told Donald Trump think about if you came from rubble,http://genius.com/kevin-gates-castle-lyrics
365,Donald Trump,cross 'em out and put a 'k,westside connection,positive,money,1996,i smoke and make dough like trump,http://genius.com/westside-connection-cross-em-out-and-put-a-k-lyrics
366,Donald Trump,muzzle toe,wu-syndicate,positive,money,1999,"it's reg or not, pockets love trump donald",http://genius.com/wu-syndicate-muzzle-toe-lyrics
367,Donald Trump,red drops,limbz,negative,money,2016,my main problem with trump is how he uses money as distortion / shows that one man's cash can be everyone's misfortune,http://genius.com/limbz-red-drops-lyrics
368,Donald Trump,no smoke,montana of 300,negative,NA,2016,it's fuck all you n----s like trump,http://genius.com/montana-of-300-no-smoke-lyrics
369,Donald Trump,out here,the weeknd,positive,hotel,2016,i'm out here in the trump tower,http://genius.com/the-weeknd-out-here-lyrics
370,Donald Trump,come again,rockie fresh,negative,political,2016,we fucking up if we let trump in the office,http://genius.com/rockie-fresh-come-again-lyrics
371,Donald Trump,dope,t.i.,negative,NA,2016,"where i stay all they say is fuck trump, all day",http://genius.com/ti-dope-lyrics
372,Donald Trump,come down (remix),t.i.,negative,political,2016,"i fantasize shooting trump down, a shot for every black man who got gunned down",http://genius.com/anderson-paak-come-down-remix-lyrics
373,Donald Trump,miss u,young thug,positive,money,2013,feel like Donald Trump,http://genius.com/young-thug-miss-u-lyrics
374,Donald Trump,on the way,young thug,positive,money,2014,bitches got bumps and i'm rich just like Donald Trump,http://genius.com/mpa-duke-on-the-way-lyrics
375,Donald Trump,digest it,tiara,negative,political,2016,"the world gon' end real soon, especially if trump gets elected",http://genius.com/royce-da-59-digest-it-lyrics
376,Donald Trump,constantly hating,young thug,positive,money,2015,i've seen more holes than a golf course on Donald Trumps course,http://genius.com/young-thug-constantly-hating-lyrics
377,Donald Trump,fdt (fuck Donald Trump),yg & nipsey hussle,negative,political,2016,fuck Donald Trump,http://genius.com/yg-and-nipsey-hu-le-fdt-fuck-donald-trump-lyrics
378,Donald Trump,it's goin' down,yung joc,positive,money,2006,boys from the hood call me black Donald Trump,http://genius.com/yung-joc-its-goin-down-lyrics
